"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 20:02:40,0 p/s,0 p/s,0 p/s,0 p/s,34.5 p/s,0 p/s,0 p/s,8.98 kp/s,4.31 kp/s,4.68 kp/s,0 p/s,0 p/s,7.23 kp/s,1.72 kp/s,56.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17 p/s,0 p/s,0 p/s,14.0 kp/s,12.5 kp/s,1.51 kp/s,0 p/s,0 p/s,1.18 kp/s,12.2 kp/s,817 p/s,0 p/s
2026-08-20 20:03:00,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.87 kp/s,4.24 kp/s,4.64 kp/s,0 p/s,0 p/s,7.14 kp/s,1.69 kp/s,55.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.8 p/s,0 p/s,0 p/s,14.1 kp/s,12.5 kp/s,1.52 kp/s,0 p/s,0 p/s,1.18 kp/s,12.2 kp/s,820 p/s,0 p/s
2026-08-20 20:03:20,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.85 kp/s,4.24 kp/s,4.62 kp/s,0 p/s,0 p/s,7.12 kp/s,1.69 kp/s,55.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.9 p/s,0 p/s,0 p/s,13.9 kp/s,12.4 kp/s,1.49 kp/s,0 p/s,0 p/s,1.17 kp/s,12.0 kp/s,807 p/s,0 p/s
2026-08-20 20:03:40,0 p/s,0 p/s,0 p/s,0 p/s,34.1 p/s,0 p/s,0 p/s,8.89 kp/s,4.27 kp/s,4.63 kp/s,0 p/s,0 p/s,7.16 kp/s,1.70 kp/s,56.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17 p/s,0 p/s,0 p/s,14.1 kp/s,12.6 kp/s,1.52 kp/s,0 p/s,0 p/s,1.19 kp/s,12.2 kp/s,819 p/s,0 p/s
2026-08-20 20:04:00,0 p/s,0 p/s,0 p/s,0 p/s,33.5 p/s,0 p/s,0 p/s,8.81 kp/s,4.23 kp/s,4.60 kp/s,0 p/s,0 p/s,7.10 kp/s,1.69 kp/s,55.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.1 p/s,0 p/s,0 p/s,14.1 kp/s,12.6 kp/s,1.52 kp/s,0 p/s,0 p/s,1.19 kp/s,12.2 kp/s,821 p/s,0 p/s
2026-08-20 20:04:20,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.88 kp/s,4.24 kp/s,4.64 kp/s,0 p/s,0 p/s,7.14 kp/s,1.70 kp/s,55.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.9 p/s,0 p/s,0 p/s,14.1 kp/s,12.6 kp/s,1.52 kp/s,0 p/s,0 p/s,1.19 kp/s,12.3 kp/s,822 p/s,0 p/s
2026-08-20 20:04:40,0 p/s,0 p/s,0 p/s,0 p/s,33.5 p/s,0 p/s,0 p/s,8.77 kp/s,4.19 kp/s,4.58 kp/s,0 p/s,0 p/s,7.06 kp/s,1.68 kp/s,55.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.8 p/s,0 p/s,0 p/s,14.0 kp/s,12.5 kp/s,1.51 kp/s,0 p/s,0 p/s,1.18 kp/s,12.2 kp/s,816 p/s,0 p/s
2026-08-20 20:05:00,0 p/s,0 p/s,0 p/s,0 p/s,33.5 p/s,0 p/s,0 p/s,8.78 kp/s,4.21 kp/s,4.59 kp/s,0 p/s,0 p/s,7.06 kp/s,1.68 kp/s,54.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.2 p/s,0 p/s,0 p/s,14.3 kp/s,12.7 kp/s,1.54 kp/s,0 p/s,0 p/s,1.20 kp/s,12.4 kp/s,829 p/s,0 p/s
2026-08-20 20:05:20,0 p/s,0 p/s,0 p/s,0 p/s,33.5 p/s,0 p/s,0 p/s,8.77 kp/s,4.19 kp/s,4.59 kp/s,0 p/s,0 p/s,7.06 kp/s,1.68 kp/s,54.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.4 p/s,0 p/s,0 p/s,14.3 kp/s,12.7 kp/s,1.54 kp/s,0 p/s,0 p/s,1.20 kp/s,12.4 kp/s,830 p/s,0 p/s
2026-08-20 20:05:40,0 p/s,0 p/s,0 p/s,0 p/s,34 p/s,0 p/s,0 p/s,8.79 kp/s,4.21 kp/s,4.59 kp/s,0 p/s,0 p/s,7.08 kp/s,1.68 kp/s,55 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.1 p/s,0 p/s,0 p/s,14.2 kp/s,12.6 kp/s,1.53 kp/s,0 p/s,0 p/s,1.19 kp/s,12.3 kp/s,825 p/s,0 p/s
2026-08-20 20:06:00,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.83 kp/s,4.24 kp/s,4.61 kp/s,0 p/s,0 p/s,7.10 kp/s,1.69 kp/s,55.6 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.2 p/s,0 p/s,0 p/s,14.3 kp/s,12.7 kp/s,1.54 kp/s,0 p/s,0 p/s,1.20 kp/s,12.4 kp/s,831 p/s,0 p/s
2026-08-20 20:06:20,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.80 kp/s,4.23 kp/s,4.57 kp/s,0 p/s,0 p/s,7.08 kp/s,1.68 kp/s,55.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.1 p/s,0 p/s,0 p/s,14.2 kp/s,12.7 kp/s,1.53 kp/s,0 p/s,0 p/s,1.20 kp/s,12.3 kp/s,827 p/s,0 p/s
2026-08-20 20:06:40,0 p/s,0 p/s,0 p/s,0 p/s,33.1 p/s,0 p/s,0 p/s,8.77 kp/s,4.21 kp/s,4.59 kp/s,0 p/s,0 p/s,7.06 kp/s,1.68 kp/s,55.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.7 p/s,0 p/s,0 p/s,14.0 kp/s,12.5 kp/s,1.50 kp/s,0 p/s,0 p/s,1.18 kp/s,12.1 kp/s,815 p/s,0 p/s
2026-08-20 20:07:00,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.93 kp/s,4.27 kp/s,4.66 kp/s,0 p/s,0 p/s,7.19 kp/s,1.71 kp/s,56.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.7 p/s,0 p/s,0 p/s,14.0 kp/s,12.5 kp/s,1.51 kp/s,0 p/s,0 p/s,1.18 kp/s,12.2 kp/s,817 p/s,0 p/s
