"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 18:07:20,0 p/s,0 p/s,0 p/s,0 p/s,61.6 p/s,0 p/s,0 p/s,10.4 kp/s,6.55 kp/s,3.99 kp/s,0 p/s,0 p/s,5.21 kp/s,2.03 kp/s,66.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.07 kp/s,0 p/s,0 p/s,22.7 kp/s,9.62 kp/s,21.0 kp/s,0 p/s,0 p/s,1.95 kp/s,3.76 kp/s,20.0 kp/s,0 p/s
2026-08-20 18:07:40,0 p/s,0 p/s,0 p/s,0 p/s,61.1 p/s,0 p/s,0 p/s,10.3 kp/s,6.49 kp/s,3.95 kp/s,0 p/s,0 p/s,5.13 kp/s,2.00 kp/s,65.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.06 kp/s,0 p/s,0 p/s,22.6 kp/s,9.60 kp/s,20.9 kp/s,0 p/s,0 p/s,1.95 kp/s,3.75 kp/s,19.9 kp/s,0 p/s
2026-08-20 18:08:00,0 p/s,0 p/s,0 p/s,0 p/s,61.2 p/s,0 p/s,0 p/s,10.4 kp/s,6.56 kp/s,4.02 kp/s,0 p/s,0 p/s,5.21 kp/s,2.03 kp/s,66 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.08 kp/s,0 p/s,0 p/s,22.9 kp/s,9.69 kp/s,21.2 kp/s,0 p/s,0 p/s,1.97 kp/s,3.79 kp/s,20.1 kp/s,0 p/s
2026-08-20 18:08:20,0 p/s,0 p/s,0 p/s,0 p/s,61.7 p/s,0 p/s,0 p/s,10.4 kp/s,6.58 kp/s,4.03 kp/s,0 p/s,0 p/s,5.25 kp/s,2.04 kp/s,66.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.06 kp/s,0 p/s,0 p/s,22.6 kp/s,9.61 kp/s,20.9 kp/s,0 p/s,0 p/s,1.95 kp/s,3.75 kp/s,19.9 kp/s,0 p/s
2026-08-20 18:08:40,0 p/s,0 p/s,0 p/s,0 p/s,59.9 p/s,0 p/s,0 p/s,10.2 kp/s,6.44 kp/s,3.93 kp/s,0 p/s,0 p/s,5.12 kp/s,2.00 kp/s,65.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.03 kp/s,0 p/s,0 p/s,22.4 kp/s,9.47 kp/s,20.7 kp/s,0 p/s,0 p/s,1.93 kp/s,3.71 kp/s,19.7 kp/s,0 p/s
2026-08-20 18:09:00,0 p/s,0 p/s,0 p/s,0 p/s,60.9 p/s,0 p/s,0 p/s,10.3 kp/s,6.48 kp/s,3.95 kp/s,0 p/s,0 p/s,5.16 kp/s,2.00 kp/s,66.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.07 kp/s,0 p/s,0 p/s,22.7 kp/s,9.64 kp/s,21.0 kp/s,0 p/s,0 p/s,1.96 kp/s,3.76 kp/s,20.0 kp/s,0 p/s
2026-08-20 18:09:20,0 p/s,0 p/s,0 p/s,0 p/s,61.3 p/s,0 p/s,0 p/s,10.3 kp/s,6.48 kp/s,3.94 kp/s,0 p/s,0 p/s,5.13 kp/s,2.00 kp/s,65.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.01 kp/s,0 p/s,0 p/s,22.1 kp/s,9.35 kp/s,20.4 kp/s,0 p/s,0 p/s,1.89 kp/s,3.65 kp/s,19.4 kp/s,0 p/s
2026-08-20 18:09:40,0 p/s,0 p/s,0 p/s,0 p/s,60.7 p/s,0 p/s,0 p/s,10.3 kp/s,6.50 kp/s,3.96 kp/s,0 p/s,0 p/s,5.15 kp/s,2.00 kp/s,66.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.02 kp/s,0 p/s,0 p/s,22.2 kp/s,9.42 kp/s,20.6 kp/s,0 p/s,0 p/s,1.92 kp/s,3.68 kp/s,19.6 kp/s,0 p/s
2026-08-20 18:10:00,0 p/s,0 p/s,0 p/s,0 p/s,61.2 p/s,0 p/s,0 p/s,10.4 kp/s,6.58 kp/s,3.98 kp/s,0 p/s,0 p/s,5.21 kp/s,2.03 kp/s,67.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.04 kp/s,0 p/s,0 p/s,22.4 kp/s,9.47 kp/s,20.7 kp/s,0 p/s,0 p/s,1.93 kp/s,3.70 kp/s,19.7 kp/s,0 p/s
2026-08-20 18:10:20,0 p/s,0 p/s,0 p/s,0 p/s,60.8 p/s,0 p/s,0 p/s,10.2 kp/s,6.46 kp/s,3.94 kp/s,0 p/s,0 p/s,5.12 kp/s,2.00 kp/s,66 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.03 kp/s,0 p/s,0 p/s,22.3 kp/s,9.46 kp/s,20.6 kp/s,0 p/s,0 p/s,1.92 kp/s,3.70 kp/s,19.7 kp/s,0 p/s
