"Time","UL N3 upf-1","UL N3 upf-2","UL N3 upf-3","UL N3 upf-4","DL N3 upf-1","DL N3 upf-2","DL N3 upf-3","DL N3 upf-4"
2026-08-20 20:12:15,29.6 kp/s,26.2 kp/s,6.35 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.0 kp/s,28.1 kp/s
2026-08-20 20:12:30,29.7 kp/s,26.2 kp/s,6.37 kp/s,24.7 kp/s,41.8 kp/s,32.1 kp/s,12.1 kp/s,28.1 kp/s
2026-08-20 20:12:45,29.8 kp/s,26.3 kp/s,6.41 kp/s,24.7 kp/s,41.9 kp/s,32.3 kp/s,12.2 kp/s,28.2 kp/s
2026-08-20 20:13:00,29.5 kp/s,26.1 kp/s,6.32 kp/s,24.5 kp/s,41.5 kp/s,31.9 kp/s,12.0 kp/s,28.0 kp/s
2026-08-20 20:13:15,29.8 kp/s,26.4 kp/s,6.43 kp/s,24.7 kp/s,41.9 kp/s,32.3 kp/s,12.2 kp/s,28.1 kp/s
2026-08-20 20:13:30,30.3 kp/s,26.9 kp/s,6.56 kp/s,25.2 kp/s,42.7 kp/s,32.9 kp/s,12.5 kp/s,28.6 kp/s
2026-08-20 20:13:45,29.9 kp/s,26.5 kp/s,6.47 kp/s,24.9 kp/s,42.2 kp/s,32.5 kp/s,12.3 kp/s,28.3 kp/s
2026-08-20 20:14:00,29.6 kp/s,26.2 kp/s,6.37 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:14:15,29.7 kp/s,26.3 kp/s,6.38 kp/s,24.7 kp/s,41.8 kp/s,32.2 kp/s,12.1 kp/s,28.1 kp/s
2026-08-20 20:14:30,30.2 kp/s,26.8 kp/s,6.55 kp/s,25.1 kp/s,42.6 kp/s,32.8 kp/s,12.4 kp/s,28.5 kp/s
2026-08-20 20:14:45,29.5 kp/s,26.2 kp/s,6.36 kp/s,24.5 kp/s,41.6 kp/s,32.0 kp/s,12.1 kp/s,27.9 kp/s
2026-08-20 20:15:00,29.9 kp/s,26.5 kp/s,6.46 kp/s,24.8 kp/s,42.1 kp/s,32.5 kp/s,12.3 kp/s,28.3 kp/s
2026-08-20 20:15:15,29.4 kp/s,26.0 kp/s,6.33 kp/s,24.4 kp/s,41.4 kp/s,31.9 kp/s,12.0 kp/s,27.8 kp/s
2026-08-20 20:15:30,29.6 kp/s,26.1 kp/s,6.35 kp/s,24.6 kp/s,41.7 kp/s,32.0 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:15:45,29.6 kp/s,26.1 kp/s,6.34 kp/s,24.5 kp/s,41.6 kp/s,32.0 kp/s,12.0 kp/s,28.0 kp/s
2026-08-20 20:16:00,29.6 kp/s,26.2 kp/s,6.38 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:16:15,29.6 kp/s,26.2 kp/s,6.34 kp/s,24.6 kp/s,41.7 kp/s,32.0 kp/s,12.0 kp/s,28.1 kp/s
2026-08-20 20:16:30,29.9 kp/s,26.4 kp/s,6.41 kp/s,24.8 kp/s,42.0 kp/s,32.3 kp/s,12.2 kp/s,28.3 kp/s
2026-08-20 20:16:45,29.8 kp/s,26.4 kp/s,6.44 kp/s,24.8 kp/s,42.0 kp/s,32.4 kp/s,12.2 kp/s,28.2 kp/s
2026-08-20 20:17:00,29.6 kp/s,26.2 kp/s,6.38 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:17:15,29.4 kp/s,26.0 kp/s,6.29 kp/s,24.4 kp/s,41.4 kp/s,31.8 kp/s,11.9 kp/s,27.8 kp/s
2026-08-20 20:17:30,29.6 kp/s,26.2 kp/s,6.37 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:17:45,30.1 kp/s,26.7 kp/s,6.50 kp/s,25.0 kp/s,42.4 kp/s,32.7 kp/s,12.3 kp/s,28.5 kp/s
2026-08-20 20:18:00,30.5 kp/s,26.3 kp/s,6.35 kp/s,25.3 kp/s,43.5 kp/s,32.4 kp/s,12.0 kp/s,29.4 kp/s
2026-08-20 20:18:15,32.1 kp/s,25.6 kp/s,5.99 kp/s,25.9 kp/s,47.1 kp/s,31.7 kp/s,11.4 kp/s,31.5 kp/s
2026-08-20 20:18:30,32.9 kp/s,24.2 kp/s,5.51 kp/s,25.9 kp/s,49.7 kp/s,30.3 kp/s,10.4 kp/s,32.8 kp/s
2026-08-20 20:18:45,34.8 kp/s,23.8 kp/s,5.28 kp/s,26.7 kp/s,53.6 kp/s,29.8 kp/s,10.0 kp/s,34.9 kp/s
2026-08-20 20:19:00,35.5 kp/s,22.8 kp/s,4.94 kp/s,26.7 kp/s,55.5 kp/s,28.8 kp/s,9.37 kp/s,35.8 kp/s
2026-08-20 20:19:15,36.0 kp/s,21.9 kp/s,4.62 kp/s,26.7 kp/s,57.0 kp/s,27.7 kp/s,8.76 kp/s,36.6 kp/s
2026-08-20 20:19:30,36.7 kp/s,21.3 kp/s,4.36 kp/s,26.8 kp/s,58.7 kp/s,27.2 kp/s,8.26 kp/s,37.5 kp/s
2026-08-20 20:19:45,37.3 kp/s,21.5 kp/s,4.37 kp/s,27.1 kp/s,60.1 kp/s,27.5 kp/s,8.29 kp/s,38.0 kp/s
2026-08-20 20:20:00,37.1 kp/s,21.3 kp/s,4.35 kp/s,26.9 kp/s,59.8 kp/s,27.3 kp/s,8.24 kp/s,37.8 kp/s
2026-08-20 20:20:15,36.8 kp/s,21.2 kp/s,4.29 kp/s,26.6 kp/s,59.2 kp/s,27.1 kp/s,8.13 kp/s,37.4 kp/s
2026-08-20 20:20:30,37.4 kp/s,21.5 kp/s,4.38 kp/s,27.1 kp/s,60.3 kp/s,27.5 kp/s,8.31 kp/s,38.1 kp/s
2026-08-20 20:20:45,37.2 kp/s,21.4 kp/s,4.35 kp/s,26.9 kp/s,59.9 kp/s,27.3 kp/s,8.25 kp/s,37.8 kp/s
2026-08-20 20:21:00,37.0 kp/s,21.3 kp/s,4.33 kp/s,26.9 kp/s,59.6 kp/s,27.2 kp/s,8.21 kp/s,37.7 kp/s
2026-08-20 20:21:15,37.2 kp/s,21.3 kp/s,4.35 kp/s,26.9 kp/s,59.9 kp/s,27.3 kp/s,8.24 kp/s,37.8 kp/s
2026-08-20 20:21:30,36.8 kp/s,21.2 kp/s,4.29 kp/s,26.7 kp/s,59.3 kp/s,27.1 kp/s,8.14 kp/s,37.5 kp/s
2026-08-20 20:21:45,37.2 kp/s,21.4 kp/s,4.33 kp/s,27.0 kp/s,59.9 kp/s,27.3 kp/s,8.22 kp/s,37.9 kp/s
2026-08-20 20:22:00,37.3 kp/s,21.5 kp/s,4.36 kp/s,27.1 kp/s,60.1 kp/s,27.5 kp/s,8.27 kp/s,38.0 kp/s
2026-08-20 20:22:15,37.0 kp/s,21.3 kp/s,4.31 kp/s,26.9 kp/s,59.5 kp/s,27.2 kp/s,8.18 kp/s,37.7 kp/s
2026-08-20 20:22:30,36.8 kp/s,21.1 kp/s,4.29 kp/s,26.7 kp/s,59.2 kp/s,27.0 kp/s,8.13 kp/s,37.4 kp/s
2026-08-20 20:22:45,37.5 kp/s,21.6 kp/s,4.39 kp/s,27.2 kp/s,60.4 kp/s,27.6 kp/s,8.33 kp/s,38.2 kp/s
2026-08-20 20:23:00,36.9 kp/s,21.2 kp/s,4.31 kp/s,26.7 kp/s,59.4 kp/s,27.1 kp/s,8.18 kp/s,37.6 kp/s
2026-08-20 20:23:15,37.2 kp/s,21.4 kp/s,4.36 kp/s,27.0 kp/s,60.0 kp/s,27.4 kp/s,8.27 kp/s,37.9 kp/s
